author,authorIsChannelOwner,cid,comment,commentsCount,hasCreatorHeart,pageUrl,publishedTimeText,replyCount,replyToCid,title,type,,,
@antoniofrans355,FALSE,Ugw7mNl344a_haRk-0h4AaABAg,Kenapa GK di Samsat sekalian? Bukankah itu bikin ribet dan bikin orang malas pajak?,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,3-5PtzG3obI,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@hendyramadhani7767,FALSE,UgxO7e25r9d3pOFpJdZ4AaABAg,Nah kalau saya enggak tau atau menerima surat tilang tiba2 ingin bayar pajak nih!  Tau2 ada kena tilang sebulan yang lalu atau 2 bulan yang lalu bagaimana caranya,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,UgyN7y1XWX51YUGLzQB4AaABAg,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@hendyramadhani7767,FALSE,UgzkvWc1t-641dx-WVl4AaABAg,"Senyumnya polisi ,deritanya Rakyat",487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,3-5PtzG3obI,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@gonbatosa1,FALSE,UgxaF2qB5bUYEyxP1054AaABAg,Klo ga dpt surat cinta nya gmn mas sy tau nya pas mau bayar pajak,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,comment,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@syapiihbinridwanbinridwan9031,FALSE,UgwARA5_Rgt-Gti6dxd4AaABAg,gw ga dpt surat tp pas di cek aja kan kocak haha,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,W1EuhKiHBhA,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@vampsvasam7485,FALSE,Ugz2gp3A9pLs5_uTs6F4AaABAg,"Bila salah tilang, bukan kendaraan kita bagaimana cara pembatalan nya pak",487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,W1EuhKiHBhA,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@LiaAmalia-z9i,FALSE,Ugw2WNilfeEu6rErDMx4AaABAg,"Tiga bulan lalu saya kesitu..krn paksu kena di Kemayoran,bolak balik sana sini dtg ke bbrp kantor demi bisa bayar pajak..oh my good, byr pajak nya gak seberapa ..mahal an tilang dan ngurusnya nya...🤦",487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,UgwXmwRPS1XeEpS40tR4AaABAg,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@zakiabidinsumantri6609,FALSE,UgwisloBEcTqd_Yj3Mp4AaABAg,kalau ngga pernah dapet surat tilang gimana ya? saaya tau nya pas cek sendiri di web tapi belom pernah terima surat,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,3-5PtzG3obI,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@medianalherfin,FALSE,Ugxqz2GfuU6rMyru5SZ4AaABAg,"Saya kena tilang2024 dan baru tau saat mau bayar pajak tp tidak ada surat yg dikirim kerumah, trs kalau mau perpanjang stnk gmn??",487,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,1 month ago,0,UgxBivsv5J9g5SDEO2B4AaABAg,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@dhalelah,FALSE,UgwxeYPD-gRCALZ8gz14AaABAg,"Kasihan masyarakat yg susah dibikin bingung, birokrasinya rumit.",487,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,1 month ago,0,UgxBivsv5J9g5SDEO2B4AaABAg,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@faisalrahmat5945,FALSE,UgzdjM-5yev9ZNcNaTx4AaABAg,Saya cek kena e tilanh surat cinta nya om terkirim,687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,7 days ago,0,Ugwv079RgAMtSMlyUxV4AaABAg,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@Sanjani-d4f,FALSE,UgzMP8s5j6TbPbXlVTh4AaABAg,"saya kena tilang tgl 17 april.. sampe sekarang tgl 26 april, sy blm mendapat surat cintanya.. gimna mau konfirmasi ny pak?",10 days ago,0,https://www.youtube.com/watch?v=W1EuhKiHBhA,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,Ugwv079RgAMtSMlyUxV4AaABAg,0,comment,,,
@suhandiandi7319,FALSE,Ugy3ojbjPAGtkyiCQQR4AaABAg,Mendgn pake plat mati tp original,687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,11 days ago,0,3-5PtzG3obI,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@ramdani7205,FALSE,UgwO4-s6viEdq8w82i14AaABAg,gimana kasus sambo pakde kok gak dihukum mati,687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,2 weeks ago,0,3-5PtzG3obI,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@syellaafriliyani6160,FALSE,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,2 weeks ago,0,3-5PtzG3obI,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@bonifaciuspribion8200,687,UgzJbi4W6Z5S2868CkN4AaABAg,2 /3 tahun yg akan datang adan ada penumpukan motor dan mobil di.. negara ini kaya dari hasil bumi.,687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,4 weeks ago,0,3-5PtzG3obI,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@JatiDiri-i5m,FALSE,UgxIzCBH2JxZDyOmmi94AaABAg,Canggih yaaa... Buat ngecek Ijazah palsu bisa ga pak??,687,FALSE,0,1 month ago,0,comment,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,0,,,
"menghilangkan nyawa seseorang""",FALSE,UgxVi-nwkVxayN8tY2N4AaABAg,"gak percaya sih sistem nya sudah canggih , app sama situs nya aja gak ada yg beres",687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,1 month ago,0,W1EuhKiHBhA,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@Cahyanakbontot,FALSE,UgzWCGG2UG-a7Oee-uh4AaABAg,"Kalau mau masyarakat tertib, petugas yg dipelayanan Samsat juga ditertibkan yg mempersulit masyarakat. Masyarakat juga sudah tau diplat SDH tertanam chip seperti di Ktp dan SIM🤭",687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,1 month ago,0,comment,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@iwannyster362,FALSE,Ugx12YgKfDWPWpzYtal4AaABAg,Pake smart filem 😂 gak keliatan kamera cukup pake tonbol😂,1 month ago,0,https://www.youtube.com/watch?v=W1EuhKiHBhA,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,UgxDQuJO9JGihYXGDat4AaABAg,0,comment,,,
@ardiansyah-rh6db,FALSE,UgwP-_3SpfKs55HfXZF4AaABAg,"mau canggih kek mau canggoh kek,ga peduli.tangkep aja pake kamera ga bakal gw bayar denda tilangnya.mnding duitnya buat beli krupuk😂😂😂",https://www.youtube.com/watch?v=W1EuhKiHBhA,1 month ago,https://www.youtube.com/watch?v=W1EuhKiHBhA,1 month ago,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,UgxDQuJO9JGihYXGDat4AaABAg,W1EuhKiHBhA,comment,,,
@sinau-_-,FALSE,Ugy-WVEIVHAQb-hEiqB4AaABAg,Halah emang e tilang diawasi? Kemaren saja ada motor vario yg kena e tilang padahal potonya revo 😂,687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,1 month ago,0,UgwV-n4wX-YSfZ_zFcJ4AaABAg,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@bangjayoung9695,FALSE,UgzIhoafbgBmvuUZ6354AaABAg,Maklum gaji bulanan gak cukup ... Makanya cari cara biar ada tambahan ....,687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,1 month ago,0,UgwV-n4wX-YSfZ_zFcJ4AaABAg,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@raikopet,FALSE,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,1 month ago,0,UgxbIprnSrc5VaXNjkt4AaABAg,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@WechaosAmv,687,Ugw0ai6fu1bEnGv9HVl4AaABAg,Saya gak percaya kepolisian indo punya alat secanggih itu😅,687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,1 month ago,0,UgxbIprnSrc5VaXNjkt4AaABAg,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@edisugiarno1856,FALSE,",687""",FALSE,687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,1 month ago,0,UgyU7snL9i2xDpfcBS94AaABAg,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
"Ya ini hasilnya ....""",FALSE,UgyGEvnjWWXW3_REwZx4AaABAg,BODO NANAN.,687,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,UgxsQJyGtvYQNfmtF6R4AaABAg,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@Movieevic91,FALSE,UgzRgr-gA0MB9fwJA7x4AaABAg,"Pak pak, Sekarang 1 KENDARAAN 2 SURAT sudah ada, dan itu pun Resmi, ini kerja sama antara  pembeli dan perusahaan Sowrum😂",687,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,3-5PtzG3obI,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
Kan uang nya banyak di korup sama oknum,FALSE,Ugw4kpV-KIzwQS8zeCp4AaABAg,"Wah masih banyak plat mati, gak punya sim, motor bodong jakarta mah masih aman2 saja",687,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,Ugzu030dbGtc2ORag854AaABAg,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@ecooceproject8593,FALSE,UgwxkfTaZ3SSmjvEhD54AaABAg,Nguntungin polisi,687,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,UgxuLAWQSeb7vv2aDq94AaABAg,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@ariirmawan5606,FALSE,UgzfosBQAwNWxIDScsV4AaABAg,Cepet bangat dapat duit gede pak..,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,UgxuLAWQSeb7vv2aDq94AaABAg,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@ivi221xxl6,FALSE,Ugz1onVBM9BvD7a_lKR4AaABAg,Apakah mampu mengecek plat nmr palsu dari sekian banyaknya kendaraan bahkan ribuan yang melintas di jalanan.?,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,3-5PtzG3obI,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@iffrmansyah10,FALSE,UgwCBUUQWbB-M4TP0tJ4AaABAg,Ga percayaaa boonggg,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,W1EuhKiHBhA,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@denisurnadi-l5p,FALSE,Ugyv7EQDbIoA9LnQWUt4AaABAg,Hidup makin susah.ditambah lagi bikin beban rakuat kecil sperti ojol,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,1,W1EuhKiHBhA,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@nanasuhana7931,FALSE,Ugxg0Tx3dwYrVn0nQJN4AaABAg,Plat mobil gw ada yang pakai gimna tu,1 month ago,0,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,comment,W1EuhKiHBhA,0,comment,,,
@SherinaAmandasari,FALSE,UgxGp_rxwoDEAej26bp4AaABAg,Enak jamanku to,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,1 month ago,0,W1EuhKiHBhA,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@jakapriyadi110,FALSE,Ugy8EMAszjeccnrB5ch4AaABAg,Aku udah 2 kali  belum kirm surat cinta😂😂,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,2 months ago,0,comment,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@Zamanzaman-f4u,FALSE,Ugxgms-7Ti1vo4nRhEN4AaABAg,Bayarnya berapa ga pk helm lawan arah.,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,2 months ago,1,W1EuhKiHBhA,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@Arif-ne6zw,FALSE,UgyqTHYLda_DBExA2lV4AaABAg,kalo misal kita cek ada kena tilang.. tp gk dapet surat itu gimana yaa untuk kita tau blangko tilang kitaa..,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,2 months ago,0,UgzSxUYO8XzBjKBB4VN4AaABAg,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@ardiriyanto6821,FALSE,UgzixNGG1GXiljKojZ14AaABAg,"Konfirmasi kena tilang atau engga,harus ada kiriman surat tilang ETLE.ke rumah kita tinggal klik konfirmasi nomor referensi yg udah ada di.kop surat koarlantas...masalah nya tidak semua masyarakat yg di beritahu terkena tilang ETLE,,tiba tiba pada saat perpanjang stnk pajak di samsat mana pun",487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,2 months ago,0,UgyhYspCfvjOGzTB3Xx4AaABAg,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@Ahmadyani-b6g,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,2 months ago,0,Ugzw6M6NVx5vzCDL1-14AaABAg,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@MAliMuhson-c4n,FALSE,Ugy-WJbh5XckV4KYbNt4AaABAg,Klo ngk dpt surat cinta gimana. Tau2pas bayar pajak kena denda pusying,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,2 months ago,0,UgwEdqFcwNiRzgmuGHZ4AaABAg,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@goabdulabdul926,FALSE,Ugz-J4Ea-1BfbTiTzLp4AaABAg,"ijin tanya dong, saya baru ini setelah ngecek di web ternyata ada pelanggaran yang saya lakuin, tapi gaada surat panggilan yang dateng,  dan ini pun ternyata sudah lebih dari 1 bulan, bagaimana cara saya menyelesaikan urusan tilangnya jika tidak ada surat tilang yang datang ke rumah?",487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,2 months ago,0,UgzTqKbVo221XYWJm-F4AaABAg,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
"Barulah di ketahui bahwa anda stnk terblokir.""",FALSE,Ugyfo4M-RtmqLk5VG3J4AaABAg,Ada yg kena tilang etle sampe 61 kali berapa bayarnya itu,487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,2 months ago,0,UgwnUGFjaSoLM9hjPi94AaABAg,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@ekkaasihsalam1119,FALSE,Ugxi1hxXKyhVWRDvHQt4AaABAg,"Klo belom dapet aplop ,gk ada nomor refrensi ya kak",487,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI,2 months ago,0,W1EuhKiHBhA,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@hssstayjoy,FALSE,Ugyk_oa9OKa-X17qomN4AaABAg,"Nah ini saya udah konfirmasi di web etle, skrg udh 4 hari lwat dari tgl btas konfirmasi tp belum dapat balasan tentang tilangnya, saya cek di web etle kode referensi tilang saya tidak ditemukan, ini gimana ya?",487,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,2 months ago,0,W1EuhKiHBhA,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@arisgrab8481,FALSE,Ugwl9IjXF3-0hZ7tLz54AaABAg,Klo ga dpt surat cinta slama 2thn gmna tuh pak tetep ada denda juga ?,487,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,2 months ago,0,Ugy_iXgcER5Jf8xL_R14AaABAg,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@KuroJakarta,FALSE,UgyeK9nxm8GoE9OCjQ94AaABAg,RIBET AMAT SIH SISTEM NYA KALAU DI BLOKIR HARUS DATANG KE POSKO ETLE BUAT AMBIL SURAT BLOKIR.. HARUSNYA BISA DI URUS LEWAT ONLINE JUGA SURAT BLOKIR NYA.. KAN JAUH DAN BUANG WAKTU KALAU KITA KERJA DI OMELIN ATASAN..,487,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,2 months ago,0,UgxH2s8XLgGzyMbC0yF4AaABAg,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@dimasmboqe7621,FALSE,UgxDfxATfYAhZvN3vLt4AaABAg,"mobil operasional pabrik tempat saya kerja kena etle di bulan februari, tapi sampai sekarang ga ada terima surat cinta dari polda metro jaya gitu, kira2 prosedur baiknya gimana ya om?",487,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,2 months ago,0,UgxH2s8XLgGzyMbC0yF4AaABAg,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@yudigitz5261,FALSE,UgzaXJlFRPETTlEG7cN4AaABAg,"Nah, mengenai masalah ambulance kena etle seharusnya petugas konfirmasi bisa membatalkan sebelum surat tilang dikirim...",487,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,1 month ago,0,UgxH2s8XLgGzyMbC0yF4AaABAg,Bisa Sambil Rebahan Urus Konfirmasi Tilang Elektronik Tidak Perlu Datang ke Polres,comment,,,
@Watiirmanayla,FALSE,UgwMypX2mvo4AMwSkqZ4AaABAg,"saya kena e tilang tanggal 13 April saya cek dan konfirmasi di website, tanggal sidang  25 April....kalau saya bayar tanggal 26 April apa STNK saya kena blokir ?",687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,1 month ago,0,UgxH2s8XLgGzyMbC0yF4AaABAg,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@nurmalamalaa4880,FALSE,UgwnqYUTzuZr4VFaQXl4AaABAg,Bikin ribet aparat negara rakyat makin d tindas,687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,1 month ago,0,UgxH2s8XLgGzyMbC0yF4AaABAg,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@anugrahagung,FALSE,UgxTUOZCh_s9yl9KfrJ4AaABAg,"nonton penjelasannya jadi mual,sambil rebahan juga nih",687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,2 months ago,0,UgzNpSBdn0dCS1IkY0l4AaABAg,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@ririnkecil5769,FALSE,UgzZkjecXxqSy-t_wvV4AaABAg,Kalo  gak dapat surat gimana,687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,2 months ago,0,UgwF1XYTiZDSHkBHS2N4AaABAg,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@AdhyTalu,FALSE,Ugy5GJunQNHFT6IzVSF4AaABAg,Sy kena etle gak ada srt panggilan,687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,2 months ago,0,3-5PtzG3obI,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@Owlbetina,FALSE,UgzWo6ce-Tk9wPZZjsZ4AaABAg,"Masalahnya surat gk nyampe udah 14 hari,  sy cek sendiro baru tau , tp ud lwt 14 hari dari hari pelanggaran, gmn itu ?😅",687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,0,Ugys7GvH4QIFJFs595p4AaABAg,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@ramdanitajudin6420,FALSE,Ugy7LBftWTs8cWbvWOx4AaABAg,"kenyataan nya yg jaga data base pada tidur, banyk kok kejadian yg gk sesuai plat sama motor nya",4 months ago,0,https://www.youtube.com/watch?v=W1EuhKiHBhA,4 months ago,comment,Ugys7GvH4QIFJFs595p4AaABAg,0,comment,,,
@denmasganyong4912,FALSE,UgxVxViOHhdcr5SmJmZ4AaABAg,Polisi kenapa klw ngomong selalu pakai masker,687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,4 months ago,0,3-5PtzG3obI,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
@Kuldongaming,FALSE,Ugz1iakp_mPuiC3vrpd4AaABAg,Pret,687,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA,4 months ago,0,Ugys7GvH4QIFJFs595p4AaABAg,Begini Cara Kerja Kamera E-TLE Jika Temukan Pelat Nomor Palsu!,comment,,,
