author,authorIsChannelOwner,comment
@dimasmboqe7621,FALSE,"mobil operasional pabrik tempat saya kerja kena etle di bulan februari, tapi sampai sekarang ga ada terima surat cinta dari polda metro jaya gitu, kira2 prosedur baiknya gimana ya om?"
@yudigitz5261,FALSE,"Nah, mengenai masalah ambulance kena etle seharusnya petugas konfirmasi bisa membatalkan sebelum surat tilang dikirim..."
@Watiirmanayla,FALSE,"saya kena e tilang tanggal 13 April saya cek dan konfirmasi di website, tanggal sidang  25 April....kalau saya bayar tanggal 26 April apa STNK saya kena blokir ?"
@nurmalamalaa4880,FALSE,Bikin ribet aparat negara rakyat makin d tindas
@anugrahagung,FALSE,"nonton penjelasannya jadi mual,sambil rebahan juga nih"
@ririnkecil5769,FALSE,Kalo  gak dapat surat gimana
@AdhyTalu,FALSE,Sy kena etle gak ada srt panggilan
@Owlbetina,FALSE,"Masalahnya surat gk nyampe udah 14 hari,  sy cek sendiro baru tau , tp ud lwt 14 hari dari hari pelanggaran, gmn itu ?😅"
@ramdanitajudin6420,FALSE,"kenyataan nya yg jaga data base pada tidur, banyk kok kejadian yg gk sesuai plat sama motor nya"
@denmasganyong4912,FALSE,Polisi kenapa klw ngomong selalu pakai masker
@Kuldongaming,FALSE,Pret
@MauraMaher,FALSE,Giliran kasus orang yg berduit cctv rusak
@hasanudin4334,FALSE,Alat pemasukan negara.... Yang sangat menguntungkan
@MProject697,FALSE,Terlalu banyak kezoliman di negeri ini maka tunggulah azab Tuhan akan datang
@tokoanime9456,FALSE,"Ya benar itu di alami saya,"
@saeconsultant4956,687,https://www.youtube.com/watch?v=W1EuhKiHBhA
@rudisusanto9130,FALSE,Bagaimana dengan sepeda motor yg gak ada plat nomor bagian belakang...???
@NenengNurlela-x9s,FALSE,Alahh bohong... Percuma pasang ETLE yg foto juga pake kamera ponsel 😂😂😂
"Kendaraan saya selalu di rumah tapi tiba"""" saya dapat surat etle""",FALSE,wkwk cuma 2 atau 3 kendaraan😅 sehari mosok cuma sgitu yg pakai plat palsu
@wongmendhem390,FALSE,"Klo yg kyk gini aja polisi gercep, ada duitnya klo ketangkep soalnya"
@ilhamsetiawan5246,FALSE,lampunya bikin sakit mata kalau malam
@AdeZusfan,FALSE,Mbok ya pasangi cctv yg bs monitor oknum dijalanan yg suka cari tmbhn uang mkn tnp ampun..!😂😂
@agungwidinugroho554,FALSE,Hadewww malah bahayakan pengendara silau kenak lampunya
@TaufanSyahriar,FALSE,"kalau gak pake plat nomor bagaimana? woalnya dibali sekarang banyak banget warga yang memakai motor tanpa plat nomer depan belakang biasanya motornya Nmax pcx,scoopy,vespa .semoga di kenakan sanksi juga"
@HeryNurcahyono-uw8cz,FALSE,tidak menjelaskan bagaimana kamera system  menangkap no palsu….tapi petugas membandingkan ..semoga saya salah dengar
@EkaadeSetyawan,FALSE,TAI TAI.!!!
@Asdwind,FALSE,Bagaimana kalau tdk pakai plat
@antoniq9000-med,FALSE,Plat palsu seperti ap yah
@ruangpengangguran7697,FALSE,Aturan ketat buat rakyat pejabat pesta foya
@a.abdmutsaqqif8293,FALSE,"Nnti kalo mau bayar pajak akan diarahkan ke loket khusus, nnti dijelasin pelanggarannya kena di polres / polda mana,,,, nnti ambil ke sana,,,"
@a.abdmutsaqqif8293,FALSE,"Sebenernya saya ada 3 cadangan plat nomor dan saya bawa saat mudik karena ada 3 tempat yg saya lewati sering ada preman kampung yg ngincer plat luar kota, karena dulu di banyuwangi di palak 5 orang mabuk 😢"
@AyankkuSiti,FALSE,Mungkin lebih baik lagi pakai barcode di tiap kendaraan.. jadi waktu isi BBM di SPBU harus kendaraan yang pakai Barcode.. gak ada barcode berarti kendaraan curian
@3rk450,FALSE,"Asalamualaikum pak.,?"
@gianjiva4114,khususnya di angkutan umum,687
@AkmalAkmal-oj8yq,FALSE,"Okelahh masuk akal klw pakek plat palsu,, akhirnya terjawab pertanyaan saya, tapi klw gak isi plat?? Gimana yah caranya di identifikasi??? wkwkw"
@MamatRohimat-m7w,FALSE,Di halte busway dispenda samsat ganggu tuh
Saya mamat dari serang,FALSE,Bagaimana kalau tanpa plat nomor
Untuk di wilayah saya banyak sekali yg melakukan pelanggaran yg melakukan pemalsau plat no,FALSE,klo gapake plat gimana
@dyoprnathaa,FALSE,iya deh iya 😅
@chokybolang7648,FALSE,"Klw pakai plat nomor kendraan tetngga yg kebetulan motor nya sma,wrnany sma jenisnya sma,gmn pak"
@ahmadbahrainhidayat2887,FALSE,"Sekarang kantor polisi nya full CCTV kecuali WC, di tayangi 24jam di internet. Biar adil"
@ahmadfahmi6628,FALSE,RAKYAT JELATA JGN COBA2 PAKE PLAT PALSU..GITU MAKSUDNYA YA
@sangadinugroho7137,FALSE,Kemana
@gamandfishinglure,FALSE,Tes
@minta_duit7278,FALSE,"dengan kata lain, instuisi ini ttep bisa nilang elu, tp mereka gaperlu repot"" ngejar elu dijalan"
@BERUX56,FALSE,Sebetulnya sudah canggih harusnya begal motor yang lewat alat tsb mudah di tangkap.
@myusubucub6656,FALSE,Faktany kebanyakan aparat yg melanggar dan melenggang begitu saja tanpa penindakan 😂😂😂
@leobarkah,FALSE,1. Pasang ETLE di bahu jalan (kalau bisa mobile/bisa dipindah²).
@tukangkomen6461,harus ditindak).,687
@hendriartanto822,sehingga menyebabkan antrian di jalan TOL lebih dari 10 kendaraan dibelakangnya,Masyarakat terus lu intimidasi ...giliran lu kerja di dikamera atau di kasih cctv ngamookkkk 🤣🤣🤣 kocak
@andionesia,FALSE,Rakyat doang yang diawasin. Si arteria udah jelas2 pake plat nomor palsu ngga di tindak
@radenujang3294,FALSE,Coba pak terapkan untuk korupsi
2. Operator kamera harus terdiri polisi sipil dan Polisi Militer. (biar aparat pakai plat non-sipil juga sama,FALSE,Buset banyak banget bang.
3. Kendaraan pelan dan tdk bisa mengikuti ritme kecepatan kendaraan di lajur sebelahnya,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI
@GTLEADER,487,Aman gak bos
@tjepkusnaedi2429,FALSE,"Makin banyak aja polisi tidur nya,KLO ojol seperti saya gimana buat bayar nya,sedangkan saya sudah masuk 6 pelanggaran masuk jalur busway dikarenakan macet parah dan tidak ada satupun yg menertibkannya."
@hartohart8378,FALSE,Bangga sekali kalian mendenda orang
@jordywisnuputeraperdana5389,FALSE,Klo belum dpt surat cinta tp dah liat di link etle motor kena tilang ngurus ny gimana😭😭😭😭😭mn nganggur diketerangan kena tilang 9x.
"Saya aja motor masuk busway kena 2x kena 150rb/tilang""",FALSE,"Ngomong waduh nya sambil senyum 😁😁...dlm hati ""dpt duit lagi nih"""
@anaklucukhanza607,FALSE,Palaklo peang
@opang3287,FALSE,Semudah itu yhaaaaaa perpindahan uang dari rakyat ke negara😅
@muhammadakhwan9690,FALSE,Kenapa gak ada konfirmasi pemberitahuan kena tilang etle pak ke alamatnya???
@rhaniaolshop6066,FALSE,mau tanya saya liat di cek ranmor nopol saya kena blokir stnk ETLE tapi pas cek di website ETLEnya data tidak ditemukan gimana itu?
@ahmadfauzi8641,FALSE,gue di tilang tanggal 21 paling lambat tanggal 29 terus surat tilangnya datangnya tanggal 29 atuh gimna su
@muhammadakhwan9690,FALSE,Lah ini pelanggaran tgl 13 maret surat cinta nya baru sampai tgl 25 maret pa konfirmasi teeblokir dia piye coba
@imamfauzzi3968,FALSE,Saya jg kena etilang tpi lewat online ngurus ea tpi udh brs konfirmasi tingl nunggu 2x 24 jm
@AyamAyam-i9j,FALSE,"Kalo pelanggaran ortu tapi pakwi kendaraan anak nya, itu di isi nama ortu apa nama anak yang di berkas pelanggaran?"
@alfianfarozi5003,FALSE,kak maaf mau tanya kalau misalkan udah konfirmasi online tapi belum dapat smsnya gimana ya? katanya 2 hari tapi udah 4 hari belum ada
@sneakersindokop5665,FALSE,"masalahnya sms gak dapat ni, gimana mau bayar"
@keluargabahagia8491,FALSE,Brp hari balasan dari BRI .apakah balasan lewat WA bisa
@armanaja3549,FALSE,Ko punya aq suratnya gak ada nomer reservasi yh
@AchmadFariUtama23,FALSE,Kl no kita sudah tidak aktip ... Lewat email ada kg yaah no briva nya
@cimeyqirey2482,FALSE,Pak kalau bayar online bisa lewat bank lain gak ke BRIva Nya....???
@christinatece6850,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI
@iwansulastomo9291,487,Polisi pemalas
@DwiNurya,FALSE,Gak ada surat malah pas perpanjang sdh terblokir
@chalud8612,FALSE,Gua di tilang gara gara bonceng 4 sedang kan yg 2 anak anak gua masih kecil kecil masa iya si tinggal😔
@wetoday5279,FALSE,ga guna aplikasi murahan tot di pake gagal terus
"Untuk bayar Denda maksimum ataupun bayar Denda Sidangnya ?dan kalau kita sudah konfirmasi data tapi blm terima sms kode Briva...wajib ke kantor/pos etle lagi dong pak ?""",FALSE,di tol biar gak terjadi kecelakaam beruntun lagi spt di  purbaleunyi
@a.mchannel146,FALSE,"Ribet amat , harusnya otomatis aja bayar tilang pas pengisian pajak kendaraan"
@cuniesyahwa8929,FALSE,"Saya juga pernah ga merasa nerobos lampu merah, kata polisi nerobos, suruh ngasih rekaman cctv suruh ke dishub saya kan jauh perjalanan hampir sehari, bukti harus langsung dikasih liat harusnya, kan kita tau salah apa tidaknya terimakasih 🙏"
@anakkampung7339,FALSE,"Beli motor seken taunya kena e tilang 2 kali pas mau bayar pajak ga bisa karena stnk di blokir, kurang efektif aja sih menurut ku cara kerja nya , jadi bikin malas bayar pajak"
@OmGede,FALSE,MEMANG RUMIT HIDUP DI NEGERI KONOHA 😅
@budisetiawanputrariau,FALSE,"Pak kapolri listio sigit usul pak seluruh polantas di berikan aplikasi untuk penilangan motor dan mobil jgn ada lagi penilangan pakai kertas tilang ,langsung foto hasil tilang nya di polda atau polres yg terdekat se andai nya pelangar tidak mengambil hadil nya di tambahkan ke pembayaran pajek ( tilangan di perbesar nilai nya supaya pelangaran yg di lakukan jera )"
@STARKTVCHANNEL,FALSE,Data tidak di temukan knp tuh?
@santosotube8970,FALSE,Daripada sibuk nilang..lebih baik memperbaiki sistem perpanjang STNK n balik nama
@deyamailinda1352,FALSE,Wilayah jawa timur apa
@Febry99,FALSE,mksih info nya sangat membantu sekali😊
@s.syukur5556,FALSE,"Denda kalau lawan arah berapa ya ? Soalnya tadi di foto polisi,pasti bentar lagi dpt suray cinta"
@chandragunawan91,FALSE,Izin kak mau tanya kalou surat tilangnya menggunakan WA apakah benar soalnya takut penipuan?
@fatkhurrosi7928,FALSE,Wilayah jawabarat sih bang?
@dawamadventure6220,FALSE,Untuk wilayag jawa Timur min
@AsepIsmail-p5c,FALSE,Kalo wilayah cilegon cek ny dimna
@Miku26-u4c,FALSE,"Min saya mau tanya dong, kalo kendaraan di tilang tapi dan surat nya juga hilang, cara ngeceknya gimana ia"
@masboy6138,FALSE,Webnya blocked
@wisnuariandika9801,FALSE,Padahal saya gak pernah usil.. Tiap malem itu PJR pada panen raya di jalan tol.. Banyak kendaraan yang di berenti in khusus mobil box. Di pinta uang semua tolong di cek di audit
@hkorecord1896,FALSE,Pak jangan di kasih tau algoritma logika digital program nya ...supaya maling mobil/motor banyak ketangkap
@sodikhardiyanto4899,FALSE,Sudah 2 tahun.. dan plat palsu bermunculan karena kasus viral. Saking ribuan yang palsu kali ya
@asriansori1845,FALSE,Oh ini anak buah sambo
@sawirana9836,FALSE,"Terkadang saya masih ragu dengan sistem ini.. yang shrusnya ditilang itu adalah pengendara yang benar benar melanggar lalu lintas,,  akan tetapi yng di takutkan adalah oknum oknum yang jail"
@gugungunawan50,FALSE,Iyakah? Soalnya ada satu kasus saya lihat di grup lexi owners... kasusnya ada orang yang pakai plat nomer dia (plat palsu) dan motornya jelas jelas motor mio dan berbeda warna. Sedangkan yang pemilik plat aslinya bermotor lexi
@elyafitriadi8416,FALSE,"hoax, gw tiap hari lewati belasan ETLE pk motor pk Plat Palsu gk pernah kena Tilang"
@dariushomepro5127,FALSE,CCTV canggih
@ahmadbadrianp,FALSE,Terapkan juga jejak motor mobil yg di bawa kabur maling agar bisa di lacak di bawa kabur kemana
@Dankers_,FALSE,Berani gak pasang kamera di setiap kantor dan live di layar jalan2
@tragorafael9555,FALSE,Omong kosong
@melodic_labura4782,FALSE,Saya gak pernah pakai plat motor..
@IWANiswandiLBC,FALSE,FALSE
@YossVideos58,"sambo mendadak jadi ayam sayur""",Darimana bisa tahu pengguna plat palsu.. ? ?
@r.m.gchanel9355,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA
@7goes55,687,Halah polisi aja pakai plat palsu?????? Tapi hanya masyarakat yg di denda
@bungkuskendro7293,FALSE,rambo bijimn pa?
Mau pajak aja susahnya bukan main..,FALSE,Semoga   Internet  di Shobdonw
Kalau musuh rakyat kecil sangat pintar giliran musuh dpr yg korup,FALSE,1 STNK 2 motor...
@afladhoamk6640,FALSE,plat palsu sama plat mati beda y
1..siapa yang akan di tilang,FALSE,"Pakai plat palsu kedapatan ternyata pejabat, nggak jadi keluar surat cinta."
2.. Siapa yang akan dikasuskan  karena mobil semua satu merek satu jenis sama warna sama bentuknya.. Kecuali dari nomor rangka dan nomorbmesin  ..,FALSE,https://www.youtube.com/watch?v=W1EuhKiHBhA
"Emang ada CCTV yang bisa tembus panda sampai ke dalam mobil hingga bisa lihat nomor rangka dan nomor mesin mobil""",pembiaran saja.,pncari kesalahan masyarakat kecil. d tubuh polri sendiri bnyak yg melanggar hukum gk bisa perbaiki.apa memang kemampuanya cuma  berani menindak rakyat?taik loooo
@Besokujianbro,687,Bagaimana kalau si pengendara meminjam plat atau mengcopy plat nomor pengendara lain yang masih aktif dengan merk kendaraan yang sama?
@Ph-vl1fm,FALSE,"salah lu sendiri, ngapain lu masuk busway, kn idiot"
@ekoyanto3259,FALSE,Sama kak
@melodynoah1192,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI
@ridzalahmad1928,FALSE,Ngisi online itu juga harus ada sim. Kalo gk ada sim gk bisa ya
@sandiari6112,487,sekian banyak viedo ini yg paling jelas mantappp
Di kamera tidak bisa respon terhadap motor knalpot brong.,FALSE,Ijin save bagikan Link
Kalau kamera memantau mobil plat hitam pakai STROBO,FALSE,Saya udh terkonfirmasi lewat website per tgl 24 feb 2025.  Sampe sekarang belum nerima tuh sms kode briva  .
"Betulkah pak POLISI...??""",FALSE,"Bang sy dpat pemeritauan tilang dr wa gmna cara mengurusnya ,sy awam"
@leqqishogun2505,FALSE,"yang saya alamin, saya  dapat surat tilang sementara motor saya selalu di rumah,bahkan poto yang di etle bukan motor saya,itu gimqna ya pa,kemana saya harus mengadukan hal itu ya"
@apriyankholiknurpratama7333,FALSE,"Sy tdk pernah Terima surat tilang dr polisi & sy jg tdk pernah menerima WA dr polantas, tp pas sy mau perpanjangan stnk ternyata stnk sy terblokir, bagaimana itu solusi nya pak?"
@antoniofrans355,FALSE,Gua kena gapkek helm pakek briva 250 anjir wkwk. Kalau mau nunggu sidang ga ada sim
@ikalistiyani8484,FALSE,"Apa apaan saya pas mau perpanjangan stnk kena blokir karena etilang, pdhl ga ada surat yang datang ke rumah 😅 aneh nih tiba tiba tau tau ad kena etilang,,,,"
"Trus punya mu skrg gmna kak?""",FALSE,"saya mau konfirmasi, tapi website untuk konfirmasi nya tidak bisa di buka, mohon bantuannya"
@swwapchannel,FALSE,Website g bisa dibuka...sama aja harus ofline
@haryfaizal8641,FALSE,Pertanyaan nya smisal saya lgi garuk wajah/pipi kiri ternyata dianggap lg pegang HP pdhl posisi HP disebelah kanan dijepit Carholder..apa bisa kita klarifikasi utk tidak ketilang..?
@beritagombal2696,FALSE,"klo website situsnya ini tidak terjangkau, kek mana?.. ini ada indikasi saya harus ke Korlantas ya?.. duit ini lagih.. wkwkkw"
@hariputranugraha3067,FALSE,Gmn klo kita beli kendaraan seken an org lain
@abdulmuqosim83,FALSE,"Saya ga pernah dapat surat giliran mau pajak 7 kali pelanggaran,,tapi foto fotonya ga ada,,apakah solusinya?"
@Putracikal-12,FALSE,andai semua polisi sikapnya semua seperti ini pasti respect.
@ramadhanisyafitri7609,FALSE,Y klo ky gini pasti byk yg mls byr pajk
@fatmaanr_,FALSE,Cuma mempersulit rakyat
@JoniFarid,FALSE,Dilapangan ada yg tak dapat surat cinta dan mengerti melakukan pelanggaran mau pajak diblokir 😅😅😅😅😅 apalagi ternyata pelanggaran terjadi bukan dijalan raya namun di jalan menuju kampung  apakah tindakan petugas dibenarkan sesuai UU yg berlaku 😮😮😮😮 kelalaian petugas memberitahu surat kepada pelanggar ini bisakah dituntut karena menyebabkan masyarakat menjadi korban ibarat sudah jatuh tertimpa tangga 😅😅😅😅 Masy tertib petugaspun tertib
@Suxtion135,FALSE,"saya sudah konfirmasi melalui online, tapi no VA Briva nya tidak ada di sms... gmn SDaya mau bayar"
@teyudi8718,FALSE,"Iya kok sama ya,kenapa gak langsung aja gitu ya,jadi gk perlu nunggu dan repot"""
@onesbrohas,FALSE,@awanlegox6028  langsung aja ke polres bang ke bag. Informasi etle.  Kena 100 kalo di tempat gua.  Nanti status di website nya bakal berubah.  Yg asalnya tertagih jadi terbayar .habis itu udah clear
@ronnyferdiansyah4730,FALSE,"Itu berati cuman nakut nakutin doang, bahkan saya pernah lewat jalur trans jakarta yg ada kamera nya di grogol pas bayar pajak gpp"
@UdinUdin-fl2ig,FALSE,bahkan sy pernah pake plat nomor jepang buat sunmori gpp
@raffimunazhzham3022,FALSE,Kalau beda sama di capture gmna bang.. Tolong di bls
@M.IlhamRohmad-bm2iv,FALSE,Sayaa sdh isi. Dapet pemenritahuan nya melalaui apa
@ibnupbg7379,FALSE,"Hari ini saya dapat wa katanya dari pihak kepolisian,bahwa saya ketilang hari ini 22 nov. Padahal 3 hari saya tidak kemana2. Dan disuruh bayar denda max 250rbu. Tolong jwb yg pernah ngalami kyak saya"
@mrgp8021,FALSE,Emang ada polisi yg bener ?
@Prasetyo123-o6k,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI
@bettahobbies-nx8ne,FALSE,Masalahnya klau surat datang telat 2 hari gimana tuch?
@awanlegox6028,487,Pak saya udah konfrimasi di online tp ga ada blsan sms sudah 3 hri buat pembayaran ke briva nya mohon petunjuknya
@hariputranugraha3067,FALSE,KL PLAT MOTOR DI PAKE ORG YANG TIDAK DI KENAL GIMANA KEMANA HARUS KOMPLEN NYA
@balwinrivando2111,FALSE,"Saya juga kna tilang gara""trobos lampu merah bukan sngaja sih tapi ktika saya lagi lajur kncang tiba tiba lampu merah ,,mau di rem takut ktabrak sama di blankang, mnding kaya gini ada tilang elektrik  kalow gk ada banyak yang kclakaan di lampu merah"
@mnagarage5329,FALSE,"Enak bener bilang sambil rebahan bisa. . . Nyari duitnya yg susah lol, buat jajan anak sama beli beras aja susah. Astziimm"
@echoedelweiss9038,FALSE,Ini gimana pas mau konfirmasi di web tapi muncul notif data tidak ditemukan? padahal cek via barcode dari surat
@arkhanzakids,FALSE,7:18 kalau mau menunggu tanggal sidang
@rizalatul4208,FALSE,6:55 cara bayar denda maksimal
@Arkan_09-y4t,FALSE,"STNK Mobil atas nama istri. Yg nyopir si Suami.Ketika mau konfirmasi tilang Elektronik, tertulis DATA TIDAK DITEMUKAN."
"Yg ada mah makanin duit rakyat aja.""",FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI
@aditrizki1380,FALSE,Mau tanya bang.
@eydil5819,487,https://www.youtube.com/watch?v=3-5PtzG3obI
@NolimitCity948,FALSE,MUKIDI
@GhoustTouch,487,Bohong itu No TLP informasi juga ga pernah di respon TLP ga mau angkat
@MuklisRizki-e4d,FALSE,Saya kena tilang extila g
@dedensupriyatna3646,FALSE,https://www.youtube.com/watch?v=3-5PtzG3obI
@armandois1988,FALSE,OJOL di tilang bagaimana bayar nya untuk makan keluarga aja sehari blm tentu dapat
@armandois1988,487,Saya ga mau dibantu polisi pa.😅 .. pasti di mintain duit. Walaupun di mulut pa polisi ga di pungut biaya..
@minisukamtini428,FALSE,"Saya bru td siang dikirim surat ini,padahal kejadian tgl 20 september,gimana solusinya"
